shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4720116,49.2503147,6.6971129,439
1204988,49.2176256,6.9686596,440
7839411,49.2151601,6.9671956,441
7876392,49.2766671,7.0335307,442
7850696,49.2764514,7.0334555,443
1204988,49.2345784,6.988796,444
1763922,49.3134801,7.34368,445
7841892,49.1989087,7.0149512,446
7587775,49.5392891,6.3764611,447
7876393,49.3137032,7.0792427,448
7543083,49.3373688,7.0942123,449
7944643,49.2421236,7.0672619,450
7986819,49.2138655,6.983241,451
7849568,49.2255623,6.9771601,452
4720116,49.2393508,6.7057939,453
7543083,49.3198222,7.0886867,454
6103985,49.2391473,6.9755325,455
2071636,49.3025086,6.9371819,456
4773465,49.3128256,6.7491594,457
7458093,49.2516953,6.889134,458
7900265,49.2497423,6.9146497,459
4797946,49.3702018,7.0499138,460
7543084,49.2658664,7.0053138,461
721798,49.3181062,7.0768195,462
7850904,49.3199514,7.1590918,463
4790636,49.4989323,7.02309,464
7543083,49.2659278,7.0052031,465
7841892,49.2160891,7.0297003,466
3228149,49.2646629,7.0498231,467
7884938,49.2325898,7.0053883,468
4790636,49.2425946,6.9731684,469
406014,49.2576974,7.0476416,470
910005,49.356965,7.182431,471
910005,49.3570217,7.1832366,472
7458093,49.2525233,6.9045599,473
1204991,49.2345219,6.8341667,474
7841893,49.2116611,7.0188025,475
7841892,49.2113955,7.0189397,476
4029528,49.3808761,7.3295246,477
1204991,49.2359815,6.8379561,478
4720116,49.2398972,6.6991206,479
3857117,49.1956541,7.1861938,480
416496,49.2482546,6.970909,481
1204991,49.2407332,6.838394,482
450854,49.3250368,7.0585903,483
7543084,49.5591583,7.1291271,484
224554,49.3277645,7.336867,485
1804450,49.3278269,7.3367591,486
555808,49.3278499,7.3367097,487
940080,49.225668,7.027119,488
7908403,49.1829123,7.0390908,489
7841893,49.2268029,6.9613196,490
563170,49.5770384,6.5700359,491
7849568,49.2285735,6.9935893,492
4773464,49.3092997,6.7399763,493
7849568,49.2243058,6.9994715,494
7839414,49.2105747,6.964201,495
4034038,49.3400476,7.3556877,496
4029528,49.3311295,7.3370911,497
7944644,49.2427067,7.0689626,498
1204991,49.2321609,6.8290813,499
920473,49.3034231,6.8055809,500
2080574,49.3371541,6.9093549,501
940082,49.2284715,7.029024,502
4029530,49.3803475,7.3294597,503
3857117,49.1969724,7.1785624,504
7841892,49.2003977,7.0126114,505
1204991,49.2452178,6.8385212,506
7839414,49.2274607,6.9687016,507
7839414,49.2261376,6.9753688,508
7833670,49.2395427,6.9936838,509
563170,49.3868481,6.69011,510
4790636,49.5060357,7.0100728,511
6103985,49.2462864,6.933691,512
7908403,49.1938466,7.0337669,513
7458093,49.2599036,6.9079664,514
4773465,49.3060857,6.7452137,515
4773465,49.3084868,6.7444064,516
7900265,49.2613197,6.914285,517
237155,49.2375428,7.0561765,518
1108389,49.1530899,7.0373096,519
7543083,49.2993301,7.0545318,520
1139510,49.4691207,7.1384043,521
7839414,49.2321623,6.975735,522
4773464,49.3135634,6.7412493,523
1139510,49.468851,7.1407811,524
416496,49.2350298,6.9961987,525
940082,49.2353505,7.0499108,526
405625,49.2367694,7.0490387,527
6103985,49.2399862,6.9905738,528
405625,49.2356505,7.0357415,529
7543083,49.5238789,7.1462192,530
7884651,49.2736426,7.1033613,531
405625,49.2375103,7.0361544,532
418586,49.3532351,7.1760279,533
4720116,49.2417112,6.7792859,534
7458537,49.248303,6.9011163,535
5709358,49.507276,6.3722226,536
405907,49.3074547,7.0287272,537
416496,49.2336385,6.972883,538
940082,49.2328929,7.0390752,539
4034037,49.3520693,7.3960675,540
405625,49.2416816,7.0242687,541
237740,49.2336659,6.9737619,542
7833670,49.2438252,7.0121673,543
7886591,49.2479121,6.9048113,544
7841893,49.1939415,7.0247303,545
405625,49.2379524,7.0409736,546
384614,49.2411972,6.990794,547
555580,49.5385816,6.3757431,548
450854,49.3292462,7.0567309,549
555580,49.56541,6.3711147,550
4773464,49.3026631,6.7579784,551
1204991,49.1771684,6.811968,552
5776647,49.3040685,7.3423401,553
405625,49.2378984,7.0457014,554
4779085,49.2511736,6.8603375,555
7836666,49.231713,7.0488839,556
7841892,49.233663,6.9871744,557
1139510,49.4084066,6.9072054,558
7905181,49.2091442,7.0488919,559
3857117,49.1514921,7.2296416,560
450854,49.2431582,7.0029776,561
4720116,49.2436306,6.6981657,562
3857117,49.2011884,7.1743285,563
406459,49.2758798,7.0921221,564
4790636,49.4796695,6.9928975,565
224554,49.3524031,6.7220383,566
1108389,49.1477632,7.1120308,567
405625,49.2324515,7.0497857,568
3857117,49.1539679,7.2323631,569
7543084,49.5119079,7.1598384,570
4780509,49.3368638,6.9302738,571
6103985,49.2446764,6.9369891,572
7543083,49.5117684,7.1600937,573
812457,49.3743851,7.1867711,574
7543083,49.4320365,7.1610938,575
4029528,49.3848633,7.3316771,576
4029530,49.3848433,7.3319196,577
7458537,49.2511975,6.8925392,578
3857117,49.1954083,7.180594,579
4773464,49.3090269,6.7429347,580
563170,49.3277731,6.7502063,581
7850904,49.2347427,6.9275459,582
563170,49.4367357,6.634208,583
2080573,49.3221731,6.9205475,584
224554,49.3277462,6.7501777,585
2080573,49.3179649,6.9335803,586
7944643,49.2427152,7.0693173,587
1139510,49.4807368,7.0409203,588
224554,49.2594514,7.0786035,589
2080574,49.31804,6.9333435,590
2080573,49.3395725,6.9226501,591
7543084,49.4322035,7.1606092,592
2084670,49.2776543,6.8706917,593
237740,49.2393151,6.9747373,594
1111899,49.5065755,6.7453206,595
555580,49.5072688,6.3721599,596
940082,49.235725,7.0356811,597
7849568,49.2267051,6.9974667,598
563170,49.4435617,6.6353577,599
2080574,49.3396171,6.9208509,600
2080573,49.3374837,6.9293162,601
538221,49.3236275,7.0820973,602
4779085,49.2504306,6.8638288,603
2080573,49.338265,6.9271749,604
1139510,49.4667742,7.1618349,605
7502200,49.3437294,6.5940429,606
2075840,49.2977792,6.9351477,607
2080573,49.3369419,6.9303273,608
7841893,49.2163487,7.0164167,609
7841893,49.2321184,6.9630645,610
2071708,49.3033257,6.9412362,611
4779085,49.2516066,6.8681606,612
4798622,49.3494304,7.2269028,613
4780509,49.3365527,6.9297549,614
2071636,49.3023234,6.943333,615
7850697,49.2839843,7.0415677,616
4780509,49.3363675,6.929497,617
7833334,49.2424729,7.015503,618
1111898,49.436906,6.6346074,619
2075840,49.3197615,6.94852,620
4773449,49.3040877,6.7958767,621
7529983,49.2413193,6.9886024,622
2075840,49.3200268,6.9455086,623
7849568,49.2238335,6.9861927,624
4798622,49.3635433,7.1297064,625
2080574,49.3390887,6.8978083,626
7944223,49.2818769,7.0697318,627
2080626,49.328295,6.9242068,628
1205315,49.2233227,6.8007654,629
2080575,49.3283351,6.924631,630
2080574,49.3203074,6.9282293,631
237740,49.2402327,6.9898115,632
2080573,49.3203343,6.9281002,633
940082,49.233907,7.0361634,634
7841893,49.2091936,6.9586707,635
7841892,49.2078195,6.9617089,636
6103985,49.2478822,6.9280058,637
7884258,49.2481021,6.9281454,638
7900265,49.2595538,6.9165801,639
7543083,49.5583733,7.1296466,640
555580,49.5862885,6.3768735,641
7900264,49.2589718,6.9164539,642
2080573,49.3366703,6.9101622,643
7458093,49.2585256,6.9065951,644
450854,49.3165307,7.0481949,645
2080573,49.3334634,6.9121466,646
4790636,49.4024974,6.8951059,647
7908404,49.1985148,7.0319079,648
1205315,49.2206941,6.8056952,649
2080574,49.3378494,6.9084221,650
